"column_name";"description"
"aardwerk";"aard werkzaamheden"
"vertloc";"vertreklocatie verplaatsing"
"vertgeb";"vertrekgebied"
"vertpc";"postcode vertrekpunt"
"vertpcbl";"postcode vertrekpunt in het buitenland"
"vertgem";"vertrekgemeente"
"vertprov";"vertrekprovincie"
"vertcorop";"coropgebied vertrekpunt"
"vertmra";"metropoolregio amsterdam vertrekpunt"
"vertmrdh";"metropoolregio rotterdam den haag vertrekpunt"
"aankgeb";"aankomstgebied"
"aankpc";"postcode aankomstpunt"
"aankpcbl";"postcode aankomstpunt in het buitenland"
"aankgem";"aankomstgemeente"
"aankprov";"aankomstprovincie"
"aankcorop";"coropgebied aankomstpunt"
"aankmra";"metropoolregio amsterdam aankomstpunt"
"aankmrdh";"metropoolregio rotterdam den haag aankomstpunt"
"pcg";"nederlandse postcode grensovergang"
"gemg";"nederlandse gemeente grensovergang"
"pcblg";"buitenlandse postcode grensovergang"
"afstv";"verplaatsingsafstand in nederland (in hectometers)"
"kafstv";"verplaatsingsafstandsklasse in nederland"
"hvm";"hoofdvervoermiddel verplaatsing"
"hvmrol";"rol in het hoofdvervoermiddel"
"khvm";"hoofdvervoermiddelklasse verplaatsing"
"vertuur";"vertrekuur verplaatsing"
"vertmin";"vertrekminuut verplaatsing"
"kverttijd";"vertrektijdklasse"
"aankuur";"aankomstuur verplaatsing"
"aankmin";"aankomstminuut verplaatsing"
"reisduur";"reisduur in nederland (in minuten)"
"kreisduur";"reisduurklasse in nederland"
"actduur";"activiteitsduur (in minuten)"
"kind6";"kind(eren) jonger dan 6 mee"
"volgwerk";"opeenvolging werkverplaatsingen"
"saantadr";"aantal bezochte adressen serieverplaatsing"
"sdezplts";"alle adressen in dezelfde plaats"
"splaats1";"plaatsnaam 1"
"splaats2";"plaatsnaam 2"
"splaats3";"plaatsnaam 3"
"splaats4";"plaatsnaam 4"
"splaats5";"plaatsnaam 5"
"afsts";"afstand serieverplaatsing in nederland (in hectometers)"
"afstsbl";"afstand serieverplaatsing in het buitenland (in hectometers)"
"svvm1";"eerste vervoermiddel serieverplaatsing"
"svvm2";"tweede vervoermiddel serieverplaatsing"
"svvm3";"derde vervoermiddel serieverplaatsing"
"svvm4";"vierde vervoermiddel serieverplaatsing"
"sbeguur";"beginuur serie"
"sbegmin";"beginminuut serie"
"seinduur";"einduur serie"
"seindmin";"eindminuut serie"
"corrverpl";"correctie verplaatsingen naar ritten"
"gehblver";"geheel buitenlandse verplaatsing verwijderd"
"rit";"nieuwe rit"
"ritid";"uniek id voor iedere rit"
"ritnr";"ritnummer"
"afstr";"ritafstand in nederland (in hectometers)"
"afstrbl";"ritafstand in het buitenland (in hectometers)"
"kafstr";"ritafstandsklasse in nederland"
"rvm";"ritvervoermiddel"
"rvmrol";"rol in het ritvervoermiddel"
"raantin";"aantal inzittenden auto"
"krvm";"ritvervoermiddelklasse"
"rvertuur";"ritvertrekuur"
"rvertmin";"ritvertrekminuut"
"raankuur";"ritaankomstuur"
"raankmin";"ritaankomstminuut"
"rreisduur";"ritreisduur in nederland (in minuten)"
"rreisduurbl";"ritreisduur in het buitenland (in minuten)"
"rvertstat";"vertrekstation treinrit"
"raankstat";"aankomststation treinrit"
"rtsamen";"groepsgrootte reisgezelschap trein"
"rcorrsnelh";"correctie vanwege snelheid"
"rvliegver";"vliegtuigrit verwijderd"
"factorh";"weegfactor huishouden"
"factorp";"weegfactor persoon"
"factorv";"weegfactor verplaatsing"
