Inkomensklassen,Mediaan inkomen
1e 10%-groep (laag inkomen),12400
2e 10%-groep,19100
3e 10%-groep,23400
4e 10%-groep,28300
5e 10%-groep,33700
6e 10%-groep,40200
7e 10%-groep,48000
8e 10%-groep,56800
9e 10%-groep,68800
10e 10%-groep (hoog inkomen),95700
